year,measure_type,leading_10_ranking,measure,group,subgroup,estimate_type,estimate,reliable
2016,By primary diagnosis,0,All diagnoses,Total,All visits,Visit count,145591000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Female,Visit count,79595000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Male,Visit count,65996000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,0-17 years old,Visit count,32146000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,18-44 years old,Visit count,55978000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,45-64 years old,Visit count,34359000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,65+ years old,Visit count,23108000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic white,Visit count,87290000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic black,Visit count,30688000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Hispanic,Visit count,22936000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic other,Visit count,4678000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Northeast,Visit count,24514000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Midwest,Visit count,31428000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,South,Visit count,53485000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,West,Visit count,36165000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),MSA,Visit count,117189000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),Non-MSA,Visit count,28402000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Private insurance,Visit count,36576000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicare,Visit count,25916000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicaid,Visit count,49426000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Uninsured,Visit count,12475000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Other,Visit count,4615000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",Total,All visits,Visit count,34028000.0,Yes
